Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_initiate_Return_Flow,Chrome 70.0.3538.110,,2018-12-06 15:09:24,2018-12-06 15:26:03,16m - 39.223s,PASSED
,,,,,,
Test Cases/Branch User Maker/Request_Initiate,Chrome 70.0.3538.110,,2018-12-06 15:09:24,2018-12-06 15:10:53,1m - 28.579s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-06 15:09:25,2018-12-06 15:09:30,5.722s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-06 15:09:30,2018-12-06 15:09:33,2.159s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-06 15:09:33,2018-12-06 15:09:34,1.849s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrMakerName)",Chrome 70.0.3538.110,,2018-12-06 15:09:34,2018-12-06 15:09:39,4.255s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrMakerPwd)",Chrome 70.0.3538.110,,2018-12-06 15:09:39,2018-12-06 15:09:42,3.229s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 15:09:42,2018-12-06 15:09:46,4.156s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 15:09:46,2018-12-06 15:09:47,1.025s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 15:09:47,2018-12-06 15:09:49,2.040s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 15:09:49,2018-12-06 15:09:51,2.153s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 15:09:51,2018-12-06 15:09:54,2.550s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_Save""))",Chrome 70.0.3538.110,,2018-12-06 15:09:54,2018-12-06 15:09:56,2.134s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-06 15:09:56,2018-12-06 15:09:58,2.018s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/select_--Select--product1produ""), ""13"", true)",Chrome 70.0.3538.110,Positive Value,2018-12-06 15:09:58,2018-12-06 15:10:16,18.357s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__fromBundleRange""), ""50"")",Chrome 70.0.3538.110,,2018-12-06 15:10:16,2018-12-06 15:10:21,4.207s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__toBundleRange""), ""1000"")",Chrome 70.0.3538.110,,2018-12-06 15:10:21,2018-12-06 15:10:25,4.183s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/i_Attachments_fa fa-paperclip""))",Chrome 70.0.3538.110,,2018-12-06 15:10:25,2018-12-06 15:10:27,2.169s,PASSED
"switchToWindowTitle(""Procurement Request Attachments"")",Chrome 70.0.3538.110,,2018-12-06 15:10:27,2018-12-06 15:10:33,6.107s,PASSED
"uploadFile(findTestObject(""Object Repository/Request_initiate/attachment/Page_Procurement Request Attachment/input_Choose more files_files0""), ""C:\Users\ankita\Desktop\retest\data.txt"")",Chrome 70.0.3538.110,,2018-12-06 15:10:33,2018-12-06 15:10:35,2.087s,PASSED
