Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Branch_Master,Chrome 70.0.3538.110,,2018-12-12 13:18:14,2018-12-12 13:23:16,5m - 1.345s,FAILED
,,,,,,
Test Cases/Master/Branch/Branch,Chrome 70.0.3538.110,,2018-12-12 13:18:15,2018-12-12 13:20:25,2m - 10.010s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-12 13:18:15,2018-12-12 13:18:21,5.650s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-12 13:18:21,2018-12-12 13:18:23,2.163s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-12 13:18:23,2018-12-12 13:18:24,1.402s,PASSED
"setText(findTestObject(""Object Repository/Central head/Authorize/Page_Login Page/input_Vendor platform_userid""), ""ankita"")",Chrome 70.0.3538.110,,2018-12-12 13:18:24,2018-12-12 13:18:29,4.312s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Central head/Authorize/Page_Login Page/input_Vendor platform_password""), ""0su8JPdqOrtdMpZY9tcdMw=="")",Chrome 70.0.3538.110,,2018-12-12 13:18:29,2018-12-12 13:18:32,3.260s,PASSED
"click(findTestObject(""Object Repository/Central head/Authorize/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-12 13:18:32,2018-12-12 13:18:36,3.883s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-12 13:18:36,2018-12-12 13:18:42,6.092s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-12 13:18:42,2018-12-12 13:18:42,0.004s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Bank Dashboard/span_Masters""))",Chrome 70.0.3538.110,Negative Value,2018-12-12 13:18:42,2018-12-12 13:18:44,2.112s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Bank Dashboard/a_Branch Master""))",Chrome 70.0.3538.110,,2018-12-12 13:18:44,2018-12-12 13:18:47,2.739s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__branchName""), ""k2"")",Chrome 70.0.3538.110,Positive Value record,2018-12-12 13:18:47,2018-12-12 13:18:51,4.190s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/textarea__branchAddress""), ""k1"")",Chrome 70.0.3538.110,,2018-12-12 13:18:51,2018-12-12 13:18:55,4.190s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/select_---Select---BRANCHCLUST""), ""01"", true)",Chrome 70.0.3538.110,,2018-12-12 13:18:55,2018-12-12 13:19:12,16.357s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/select_---Select---ACTIVEINACT""), ""A"", true)",Chrome 70.0.3538.110,,2018-12-12 13:19:12,2018-12-12 13:19:26,14.260s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/select_---Select---NORTHEASTWE""), ""EAST"", true)",Chrome 70.0.3538.110,,2018-12-12 13:19:26,2018-12-12 13:19:43,17.317s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__solId""), ""k123456"")",Chrome 70.0.3538.110,,2018-12-12 13:19:43,2018-12-12 13:19:47,4.193s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerEmpId""), ""k123456"")",Chrome 70.0.3538.110,,2018-12-12 13:19:47,2018-12-12 13:19:52,4.179s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerName""), ""k"")",Chrome 70.0.3538.110,,2018-12-12 13:19:52,2018-12-12 13:19:56,4.151s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerMobileNo""), ""9874561230"")",Chrome 70.0.3538.110,,2018-12-12 13:19:56,2018-12-12 13:20:00,4.205s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerEmailId""), ""k@test.com"")",Chrome 70.0.3538.110,,2018-12-12 13:20:00,2018-12-12 13:20:04,4.207s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/button_Save""))",Chrome 70.0.3538.110,,2018-12-12 13:20:04,2018-12-12 13:20:07,2.559s,PASSED
"com.reusableComponents.HighlightElement.run(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/div_Branch details saved succe""))",Chrome 70.0.3538.110,,2018-12-12 13:20:07,2018-12-12 13:20:13,6.159s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/button_Clear""))",Chrome 70.0.3538.110,,2018-12-12 13:20:13,2018-12-12 13:20:15,2.505s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/button_Close""))",Chrome 70.0.3538.110,,2018-12-12 13:20:15,2018-12-12 13:20:18,2.502s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Bank Dashboard/span_Harshada""))",Chrome 70.0.3538.110,,2018-12-12 13:20:18,2018-12-12 13:20:20,2.148s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Bank Dashboard/b_Logout""))",Chrome 70.0.3538.110,,2018-12-12 13:20:20,2018-12-12 13:20:22,2.532s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Logout Page/a_Login""))",Chrome 70.0.3538.110,,2018-12-12 13:20:22,2018-12-12 13:20:25,2.176s,PASSED
,,,,,,
