Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_initiate_Return_Flow,Chrome 70.0.3538.110,,2018-12-06 12:27:38,2018-12-06 12:31:08,3m - 29.859s,FAILED
,,,,,,
Test Cases/Branch User Maker/Request_Initiate,Chrome 70.0.3538.110,,2018-12-06 12:27:38,2018-12-06 12:29:10,1m - 31.518s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-06 12:27:39,2018-12-06 12:27:44,5.729s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-06 12:27:44,2018-12-06 12:27:47,2.148s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-06 12:27:47,2018-12-06 12:27:48,1.591s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrMakerName)",Chrome 70.0.3538.110,,2018-12-06 12:27:48,2018-12-06 12:27:53,4.357s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrMakerPwd)",Chrome 70.0.3538.110,,2018-12-06 12:27:53,2018-12-06 12:27:56,3.320s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 12:27:56,2018-12-06 12:28:00,4.194s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 12:28:00,2018-12-06 12:28:06,6.080s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 12:28:06,2018-12-06 12:28:06,0.000s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 12:28:06,2018-12-06 12:28:08,2.160s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 12:28:08,2018-12-06 12:28:11,2.727s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_Save""))",Chrome 70.0.3538.110,,2018-12-06 12:28:11,2018-12-06 12:28:13,2.138s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-06 12:28:13,2018-12-06 12:28:15,2.036s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/select_--Select--product1produ""), ""13"", true)",Chrome 70.0.3538.110,Positive Value,2018-12-06 12:28:15,2018-12-06 12:28:34,18.374s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__fromBundleRange""), ""50"")",Chrome 70.0.3538.110,,2018-12-06 12:28:34,2018-12-06 12:28:38,4.193s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__toBundleRange""), ""1000"")",Chrome 70.0.3538.110,,2018-12-06 12:28:38,2018-12-06 12:28:42,4.179s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/i_Attachments_fa fa-paperclip""))",Chrome 70.0.3538.110,,2018-12-06 12:28:42,2018-12-06 12:28:44,2.176s,PASSED
"switchToWindowTitle(""Procurement Request Attachments"")",Chrome 70.0.3538.110,,2018-12-06 12:28:44,2018-12-06 12:28:50,6.110s,PASSED
"uploadFile(findTestObject(""Object Repository/Request_initiate/attachment/Page_Procurement Request Attachment/input_Choose more files_files0""), ""C:\Users\ankita\Desktop\retest\data.txt"")",Chrome 70.0.3538.110,,2018-12-06 12:28:50,2018-12-06 12:28:52,2.089s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Attachment/button_Attach""))",Chrome 70.0.3538.110,,2018-12-06 12:28:52,2018-12-06 12:28:55,2.496s,PASSED
"switchToWindowTitle(""Procurement Request Initiate"")",Chrome 70.0.3538.110,,2018-12-06 12:28:55,2018-12-06 12:28:58,3.027s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_Save""))",Chrome 70.0.3538.110,,2018-12-06 12:28:58,2018-12-06 12:29:00,2.510s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_Clear""))",Chrome 70.0.3538.110,,2018-12-06 12:29:00,2018-12-06 12:29:03,2.506s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Bank Dashboard/span_Harshada""))",Chrome 70.0.3538.110,,2018-12-06 12:29:03,2018-12-06 12:29:05,2.145s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Bank Dashboard/b_Logout""))",Chrome 70.0.3538.110,,2018-12-06 12:29:05,2018-12-06 12:29:08,2.525s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Logout Page/a_Login""))",Chrome 70.0.3538.110,,2018-12-06 12:29:08,2018-12-06 12:29:10,2.174s,PASSED
,,,,,,
Test Cases/Branch User Checker/Request Return,Chrome 70.0.3538.110,,2018-12-06 12:29:10,2018-12-06 12:31:08,1m - 57.992s,FAILED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrCkName)",Chrome 70.0.3538.110,,2018-12-06 12:29:10,2018-12-06 12:29:14,4.195s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrCkPwd)",Chrome 70.0.3538.110,,2018-12-06 12:29:14,2018-12-06 12:29:17,3.155s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 12:29:17,2018-12-06 12:29:20,2.638s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 12:29:20,2018-12-06 12:29:26,6.030s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 12:29:26,2018-12-06 12:29:26,0.000s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 12:29:26,2018-12-06 12:29:28,2.134s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Bank Dashboard/a_Authorize""))",Chrome 70.0.3538.110,,2018-12-06 12:29:28,2018-12-06 12:29:31,2.517s,PASSED
"click(findTestObject(""Object Repository/Request Authorize/Page_Procurement Request Authorize/button_Return""))",Chrome 70.0.3538.110,,2018-12-06 12:29:31,2018-12-06 12:29:33,2.137s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-06 12:29:33,2018-12-06 12:29:35,2.013s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_List""))",Chrome 70.0.3538.110,,2018-12-06 12:29:35,2018-12-06 12:29:37,2.160s,PASSED
"switchToWindowTitle(""Search"")",Chrome 70.0.3538.110,,2018-12-06 12:29:37,2018-12-06 12:29:43,6.078s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Search/input_Product Name_Product Nam""), ""product3"")",Chrome 70.0.3538.110,,2018-12-06 12:29:43,2018-12-06 12:29:47,4.194s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Search/input""))",Chrome 70.0.3538.110,,2018-12-06 12:29:47,2018-12-06 12:29:50,2.471s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Search/td_product1""))",Chrome 70.0.3538.110,,2018-12-06 12:29:50,2018-12-06 12:29:52,2.114s,PASSED
"switchToWindowTitle(""Procurement Request Authorize"")",Chrome 70.0.3538.110,,2018-12-06 12:29:52,2018-12-06 12:29:55,3.026s,PASSED
"setText(findTestObject(""Object Repository/Request Authorize/Page_Procurement Request Authorize/textarea_Return Reason_returnQ""), ""LOREM IPSUM DOLOR SIT AMET, CONSECTETUER ADIPISCING ELIT. AENEAN COMMODO LIGULA EGET DOLOR. AENEAN MASSA. CUM SOCIIS NATOQUE PENATIBUS ET MAGNIS DIS PARTURIENT MONTES, NASCETUR RIDICULUS MUS. DONEC QUAM FELIS, ULTRICIES NEC, PELLENTESQUE EU, PRETIUM QUIS, SEM. NULLA CONSEQUAT MASSA QUIS ENIM. DONEC PEDE JUSTO, FRINGILLA VEL, ALIQUET NEC, VULPUTATE EGET, ARCU. IN ENIM JUSTO, RHONCUS UT, IMPERDIET A, VENENATIS VITAE, JUSTO. NULLAM DICTUM FELIS EU PEDE MOLLIS PRETIUM. INTEGER TINCIDUNT. CRAS DAPIBUS. VIVAMUS ELEMENTUM SEMPER NISI. AENEAN VULPUTATE ELEIFEND TELLUS. AENEAN LEO LIGULA, PORTTITOR EU, CONSEQUAT VITAE, ELEIFEND AC, ENIM. ALIQUAM LOREM ANTE, DAPIBUS IN, VIVERRA QUIS, FEUGIAT A, TELLUS. PHASELLUS VIVERRA NULLA UT METUS VARIUS LAOREET. QUISQUE RUTRUM. AENEAN IMPERDIET. ETIAM ULTRICIES NISI VEL AUGUE. CURABITUR ULLAMCORPER ULTRICIES NISI. NAM EGET DUI. ETIAM RHONCUS. MAECENAS TEMPUS, TELLUS EGET CONDIMENTUM RHONCUS, SEM QUAM SEMPER LIBERO, SIT AMET ADIPISCING SEM NEQUE SED IPSUM. N"")",Chrome 70.0.3538.110,,2018-12-06 12:29:55,2018-12-06 12:30:02,7.468s,PASSED
"click(findTestObject(""Object Repository/Request Authorize/Page_Procurement Request Authorize/button_Return""))",Chrome 70.0.3538.110,,2018-12-06 12:30:02,2018-12-06 12:30:05,2.537s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Bank Dashboard/span_Harshada""))",Chrome 70.0.3538.110,,2018-12-06 12:30:05,2018-12-06 12:30:07,2.128s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Bank Dashboard/b_Logout""))",Chrome 70.0.3538.110,,2018-12-06 12:30:07,2018-12-06 12:30:10,2.517s,PASSED
"click(findTestObject(""Object Repository/Logout/Page_Logout Page/a_Login""))",Chrome 70.0.3538.110,,2018-12-06 12:30:10,2018-12-06 12:30:12,2.177s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrMakerName)",Chrome 70.0.3538.110,,2018-12-06 12:30:12,2018-12-06 12:30:16,4.171s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrMakerPwd)",Chrome 70.0.3538.110,,2018-12-06 12:30:16,2018-12-06 12:30:19,3.172s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 12:30:19,2018-12-06 12:30:22,2.861s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 12:30:22,2018-12-06 12:30:28,6.028s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 12:30:28,2018-12-06 12:30:28,0.001s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 12:30:28,2018-12-06 12:30:30,2.129s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 12:30:30,2018-12-06 12:30:43,12.520s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_List""))",Chrome 70.0.3538.110,,2018-12-06 12:30:43,2018-12-06 12:30:45,2.157s,PASSED
"switchToWindowTitle(""Search"")",Chrome 70.0.3538.110,,2018-12-06 12:30:45,2018-12-06 12:30:51,6.082s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Search/input_Product Name_Product Nam""), ""product1"")",Chrome 70.0.3538.110,,2018-12-06 12:30:51,2018-12-06 12:30:55,4.235s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Search/input""))",Chrome 70.0.3538.110,,2018-12-06 12:30:55,2018-12-06 12:30:58,2.481s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Search/td_product1""))",Chrome 70.0.3538.110,,2018-12-06 12:30:58,2018-12-06 12:31:08,10.137s,FAILED
