Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_initiate_Return_Flow,Chrome 70.0.3538.110,,2018-12-06 11:48:48,2018-12-06 11:51:26,2m - 38.596s,FAILED
,,,,,,
Test Cases/Branch User Maker/Request_Initiate,Chrome 70.0.3538.110,,2018-12-06 11:48:48,2018-12-06 11:50:20,1m - 31.326s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-06 11:48:49,2018-12-06 11:48:54,5.550s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-06 11:48:54,2018-12-06 11:48:57,2.158s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-06 11:48:57,2018-12-06 11:48:58,1.322s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrMakerName)",Chrome 70.0.3538.110,,2018-12-06 11:48:58,2018-12-06 11:49:02,4.303s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrMakerPwd)",Chrome 70.0.3538.110,,2018-12-06 11:49:02,2018-12-06 11:49:05,3.267s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 11:49:05,2018-12-06 11:49:10,4.345s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 11:49:10,2018-12-06 11:49:16,6.071s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 11:49:16,2018-12-06 11:49:16,0.001s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 11:49:16,2018-12-06 11:49:18,2.140s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 11:49:18,2018-12-06 11:49:21,2.740s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_Save""))",Chrome 70.0.3538.110,,2018-12-06 11:49:21,2018-12-06 11:49:23,2.139s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-06 11:49:23,2018-12-06 11:49:25,2.041s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/select_--Select--product1produ""), ""13"", true)",Chrome 70.0.3538.110,Positive Value,2018-12-06 11:49:25,2018-12-06 11:49:43,18.373s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__fromBundleRange""), ""50"")",Chrome 70.0.3538.110,,2018-12-06 11:49:43,2018-12-06 11:49:47,4.184s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__toBundleRange""), ""1000"")",Chrome 70.0.3538.110,,2018-12-06 11:49:47,2018-12-06 11:49:52,4.191s,PASSED
