Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Branch_Master,Chrome 70.0.3538.110,,2018-12-12 12:52:49,2018-12-12 12:57:30,4m - 40.785s,ERROR
,,,,,,
Test Cases/Master/Branch/Branch,Chrome 70.0.3538.110,,2018-12-12 12:52:50,2018-12-12 12:56:17,3m - 27.691s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-12 12:52:50,2018-12-12 12:52:56,5.771s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-12 12:52:56,2018-12-12 12:52:58,2.160s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-12 12:52:58,2018-12-12 12:53:00,1.668s,PASSED
"setText(findTestObject(""Object Repository/Central head/Authorize/Page_Login Page/input_Vendor platform_userid""), ""ankita"")",Chrome 70.0.3538.110,,2018-12-12 12:53:00,2018-12-12 12:53:04,4.320s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Central head/Authorize/Page_Login Page/input_Vendor platform_password""), ""0su8JPdqOrtdMpZY9tcdMw=="")",Chrome 70.0.3538.110,,2018-12-12 12:53:04,2018-12-12 12:53:07,3.291s,PASSED
"click(findTestObject(""Object Repository/Central head/Authorize/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-12 12:53:07,2018-12-12 12:53:11,3.509s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-12 12:53:11,2018-12-12 12:53:12,1.032s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-12 12:53:12,2018-12-12 12:53:14,2.044s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Bank Dashboard/span_Masters""))",Chrome 70.0.3538.110,,2018-12-12 12:53:14,2018-12-12 12:53:16,2.152s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Bank Dashboard/a_Branch Master""))",Chrome 70.0.3538.110,,2018-12-12 12:53:16,2018-12-12 12:53:19,2.535s,PASSED
"click(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/button_Save""))",Chrome 70.0.3538.110,,2018-12-12 12:53:19,2018-12-12 12:53:21,2.137s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-12 12:53:21,2018-12-12 12:53:23,2.016s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__branchName""), ""     "")",Chrome 70.0.3538.110,,2018-12-12 12:53:23,2018-12-12 12:53:27,4.204s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/textarea__branchAddress""), ""       "")",Chrome 70.0.3538.110,,2018-12-12 12:53:27,2018-12-12 12:53:31,4.196s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/select_---Select---BRANCHCLUST""), ""0"", true)",Chrome 70.0.3538.110,,2018-12-12 12:53:31,2018-12-12 12:53:45,14.250s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/select_---Select---ACTIVEINACT""), ""0"", true)",Chrome 70.0.3538.110,,2018-12-12 12:53:45,2018-12-12 12:53:58,12.191s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/select_---Select---NORTHEASTWE""), ""0"", true)",Chrome 70.0.3538.110,,2018-12-12 12:53:58,2018-12-12 12:54:12,14.227s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__solId""), ""      "")",Chrome 70.0.3538.110,,2018-12-12 12:54:12,2018-12-12 12:54:16,4.172s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerEmpId""), ""     "")",Chrome 70.0.3538.110,,2018-12-12 12:54:16,2018-12-12 12:54:20,4.189s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerName""), ""   @111"")",Chrome 70.0.3538.110,,2018-12-12 12:54:20,2018-12-12 12:54:24,4.195s,PASSED
"setText(findTestObject(""Object Repository/Master/Branch Master/Page_Branch Master/input__managerMobileNo""), ""98745"")",Chrome 70.0.3538.110,,2018-12-12 12:54:24,2018-12-12 12:54:29,4.177s,PASSED
