Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_initiate_Return_Flow,Chrome 70.0.3538.110,,2018-12-06 12:33:39,2018-12-06 12:36:47,3m - 7.982s,FAILED
,,,,,,
Test Cases/Branch User Maker/Request_Initiate,Chrome 70.0.3538.110,,2018-12-06 12:33:39,2018-12-06 12:35:07,1m - 27.888s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-06 12:33:40,2018-12-06 12:33:45,5.616s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-06 12:33:45,2018-12-06 12:33:48,2.142s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-06 12:33:48,2018-12-06 12:33:49,1.241s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrMakerName)",Chrome 70.0.3538.110,,2018-12-06 12:33:49,2018-12-06 12:33:53,4.335s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrMakerPwd)",Chrome 70.0.3538.110,,2018-12-06 12:33:53,2018-12-06 12:33:56,3.270s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 12:33:56,2018-12-06 12:34:01,4.122s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 12:34:01,2018-12-06 12:34:02,1.027s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 12:34:02,2018-12-06 12:34:04,2.044s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 12:34:04,2018-12-06 12:34:06,2.161s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 12:34:06,2018-12-06 12:34:08,2.546s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/button_Save""))",Chrome 70.0.3538.110,,2018-12-06 12:34:08,2018-12-06 12:34:11,2.134s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-06 12:34:11,2018-12-06 12:34:13,2.016s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/select_--Select--product1produ""), ""13"", true)",Chrome 70.0.3538.110,Positive Value,2018-12-06 12:34:13,2018-12-06 12:34:31,18.364s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__fromBundleRange""), ""50"")",Chrome 70.0.3538.110,,2018-12-06 12:34:31,2018-12-06 12:34:35,4.181s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Procurement Request Initiate/input__toBundleRange""), ""1000"")",Chrome 70.0.3538.110,,2018-12-06 12:34:35,2018-12-06 12:34:39,4.182s,PASSED
