Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_initiate_Return_Flow,Chrome 70.0.3538.110,,2018-12-06 11:44:46,2018-12-06 11:47:26,2m - 39.179s,FAILED
,,,,,,
Test Cases/Branch User Maker/Request_Initiate,Chrome 70.0.3538.110,,2018-12-06 11:44:47,2018-12-06 11:46:30,1m - 43.369s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-06 11:44:48,2018-12-06 11:44:59,11.462s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-06 11:44:59,2018-12-06 11:45:01,2.147s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-12-06 11:45:01,2018-12-06 11:45:06,4.610s,PASSED
"setText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_userid""), BrMakerName)",Chrome 70.0.3538.110,,2018-12-06 11:45:06,2018-12-06 11:45:11,5.491s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_password""), BrMakerPwd)",Chrome 70.0.3538.110,,2018-12-06 11:45:11,2018-12-06 11:45:15,3.696s,PASSED
"click(findTestObject(""Object Repository/Request_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 11:45:15,2018-12-06 11:45:20,4.877s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 11:45:20,2018-12-06 11:45:26,6.114s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 11:45:26,2018-12-06 11:45:26,0.005s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/span_Procurement Request (1)""))",Chrome 70.0.3538.110,,2018-12-06 11:45:26,2018-12-06 11:45:28,2.198s,PASSED
"click(findTestObject(""Request_initiate/Page_Bank Dashboard/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 11:45:28,2018-12-06 11:45:31,2.764s,PASSED
